Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Otoa,Genoa,D,1,4.5,4.5,1,2
Jean,Lecce,D,0,0,0,1,1
Dembelè A.,Lecce,D,0,0,0,1,1
Marianucci,Napoli,D,0,0,0,1,1
Sagrado,Venezia,D,2,6,7.5,1,4
Goglichidze,Monza,D,0,0,0,1,2
Vogliacco*,Genoa,D,0,0,0,1,0
Matturro*,Genoa,D,0,0,0,1,0
Missori*,Sassuolo,D,0,0,0,1,0
Terracciano F.,Milan,D,0,0,0,1,1
Casale,Bologna,D,0,0,0,1,2
Amey,Frosinone,D,0,0,0,1,1
Antov,Monza,D,0,0,0,1,1
Terzic,Frosinone,D,2,5.75,5.75,1,4
Lazzari,Lazio,D,0,0,0,1,1
Sabelli,Genoa,D,1,5,5,1,2
De Silvestri,Bologna,D,0,0,0,1,1
Goldaniga,Como,D,0,0,0,1,1
Patric,Lazio,D,0,0,0,1,1
Rugani,Juventus,D,0,0,0,1,1
Biraghi,Torino,D,0,0,0,1,1
Mrozek,Udinese,P,0,0,0,1,1
Pisseri,Frosinone,P,0,0,0,1,1
Penev,Lecce,P,0,0,0,1,1
Vismara*,Atalanta,P,0,0,0,1,0
Renzetti,Lazio,P,0,0,0,1,1
Happonen,Bologna,P,0,0,0,1,1
Pozzi,Venezia,P,0,0,0,1,1
Strajnar,Monza,P,0,0,0,1,1
Lolic,Frosinone,P,0,0,0,1,1
Desplanches,Frosinone,P,0,0,0,1,1
Mascardi,Torino,P,2,5.75,3.75,1,1
Daffara,Parma,P,0,0,0,1,6
Siviero,Torino,P,0,0,0,1,1
Pessina Mas.,Bologna,P,1,6,5,1,2
Torriani,Milan,P,0,0,0,1,1
Pizzignacco*,Monza,P,1,5,1,1,0
Grandi,Venezia,P,0,0,0,1,1
Sherri,Cagliari,P,0,0,0,1,1
Stolz,Genoa,P,0,0,0,1,1
Samooja*,Lecce,P,0,0,0,1,0
Piana*,Udinese,P,0,0,0,1,0
Montipò,Venezia,P,0,0,0,1,1
Ciocci*,Cagliari,P,0,0,0,1,0
Turati,Sassuolo,P,0,0,0,1,1
Russo A.,Sassuolo,P,0,0,0,1,1
Bleve,Lecce,P,0,0,0,1,1
Ghidotti,Parma,P,0,0,0,1,1
Vigorito,Como,P,0,0,0,1,1
Fruchtl*,Lecce,P,0,0,0,1,0
Rossi F.*,Atalanta,P,0,0,0,1,0
Satalino,Sassuolo,P,0,0,0,1,1
Padelli,Udinese,P,0,0,0,1,1
Sommariva,Genoa,P,0,0,0,1,1
Perin*,Juventus,P,0,0,0,1,0
Lezzerini,Fiorentina,P,0,0,0,1,1
Radunovic,Cagliari,P,0,0,0,1,1
