Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Orsolini,Bologna,C,2,5.75,5.75,38,25
Da Cunha,Como,C,3,6.33,6.33,21,18
Laurientè,Sassuolo,A,3,6.33,6.17,20,15
Barella,Inter,C,3,6.17,6.5,20,17
Leao*,Milan,A,0,0,0,19,0
Castro S.,Roma,A,3,6.17,6.17,18,14
Santos A.,Napoli,A,3,6,6,15,14
Soulè,Roma,A,3,6.83,9.17,14,15
Colombo,Genoa,A,3,6,6.33,14,11
Dovbyk,Bologna,A,3,5.83,6.67,13,16
Ederson D.S.,Atalanta,C,3,6.17,7.17,13,13
Beto,Fiorentina,A,1,5.5,5.5,12,14
Lukaku*,Napoli,A,0,0,0,11,0
Alajbegovic,Juventus,C,2,5.5,5.5,11,11
Gudmundsson A.,Lazio,C,2,5.75,7,11,13
Bastoni,Inter,D,3,6,6,11,14
Konè M.,Roma,C,3,6.33,6.17,10,10
Osmajic,Genoa,A,2,6,7.5,9,9
Esposito Se.,Sassuolo,A,0,0,0,9,12
Zambo Anguissa,Napoli,C,3,5.33,5.33,9,10
Bisseck,Inter,D,3,6.67,7.67,9,13
Kevin Carlos,Cagliari,A,1,5.5,5,8,12
Adams A.,Venezia,A,3,5.5,5.5,8,11
Yeboah J.,Venezia,A,3,6.5,7.5,8,10
Adams C.,Torino,A,3,6.67,8.67,8,12
Bernabè,Parma,C,2,5.75,5.75,8,7
Perrone,Como,C,3,6.17,6.17,8,11
Thorstvedt,Sassuolo,C,3,6,6,8,10
Ramon,Como,D,3,6,6,8,10
Skorupski,Bologna,P,3,5.83,4.5,8,10
Boga,Juventus,A,3,5.83,5.83,7,6
Calò,Frosinone,C,3,6.33,6.67,7,8
Rodriguez Je.,Como,C,1,5.5,5.5,7,11
Cacciamani,Torino,C,3,6.17,6.5,7,6
Cristante,Roma,C,3,6.33,6.33,7,9
Gutierrez*,Napoli,D,0,0,0,7,0
Okoye,Udinese,P,3,6.17,4.5,7,9
Falcone,Lecce,P,3,6.33,4.5,7,8
Gnonto,Fiorentina,A,1,5.5,5.5,6,7
Ratkov*,Lazio,A,0,0,0,6,0
Ghedjemis,Frosinone,A,1,6,6,6,9
David*,Juventus,A,1,5,5,6,0
Schmid,Frosinone,C,3,5.83,5.5,6,8
Mbangula,Bologna,C,0,0,0,6,8
Casadei,Torino,C,1,5,5,6,9
Ferguson,Bologna,C,3,6,6,6,8
Baldanzi,Genoa,C,3,5.83,5.83,6,11
Volpato,Sassuolo,C,3,6.67,7.5,6,9
