Tipo,Posizione,Fantasquadra,Punti
Generale,1,Castellaneta Marina,254.0
Generale,2,Atletico Mandrillo,252.0
Generale,3,Manduria nerazzurra,247.5
Generale,4,Squirting Lisbona,243.5
Generale,5,Juventus Tarantina,237.5
Generale,6,InfameDiPalla,237.5
Generale,7,E-Team,235.0
Generale,8,Paris Saint Gennaro,235.0
Generale,9,Athletic Sparta,233.5
Generale,10,Real Torretta,232.5
Generale,11,Forzamessina,231.5
Generale,12,Aquilerosanero,230.5
Generale,13,Camerlonasoccer Team,228.5
Generale,14,Gallipoli 2023,225.5
Generale,15,Atletico birra raffo,219.0
Generale,16,Cuba Libre,218.5
Generale,17,Tanagro,217.0
Generale,18,Friariello,214.0
