Tipo,Posizione,Fantasquadra,Punti
Generale,1,Manduria nerazzurra,88.5
Generale,2,Castellaneta Marina,87.0
Generale,3,Paris Saint Gennaro,83.5
Generale,4,E-Team,83.0
Generale,5,Athletic Sparta,82.5
Generale,6,Juventus Tarantina,82.0
Generale,7,InfameDiPalla,80.5
Generale,8,Real Torretta,78.0
Generale,9,Aquilerosanero,77.0
Generale,10,Squirting Lisbona,77.0
Generale,11,Atletico Mandrillo,76.0
Generale,12,Cuba Libre,70.5
Generale,13,Gallipoli 2023,70.0
Generale,14,Atletico birra raffo,67.5
Generale,15,Camerlonasoccer Team,67.0
Generale,16,Friariello,66.0
Generale,17,Tanagro,65.5
Generale,18,Forzamessina,65.0
