Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Thuram,Inter,A,0,0,0,66,29
Pulisic,Milan,C,0,0,0,40,25
Rabiot,Milan,C,1,7.5,11.5,36,22
De Bruyne,Napoli,C,1,7.5,11.5,27,15
Krstovic,Atalanta,A,1,7,10,25,18
Berardi,Sassuolo,A,0,0,0,25,18
Dybala,Roma,A,1,8,11,24,14
Mora,Roma,C,1,6.5,6.5,24,19
Laurientè,Sassuolo,A,1,6,6,22,15
Leao,Milan,A,0,0,0,19,18
Dovbyk,Bologna,A,1,5,5,15,16
Vicario,Juventus,P,1,6,6,15,16
Colombo,Genoa,A,1,6,6,14,11
Taylor K.,Lazio,C,1,6,6,14,13
Pinamonti,Sassuolo,A,0,0,0,13,13
Diao,Como,A,1,6,6,12,11
Zambo Anguissa,Napoli,C,1,5.5,5.5,12,11
Pavlovic,Milan,D,1,6,6,12,14
Kalulu,Juventus,D,1,6.5,6.5,12,13
Soulè,Roma,A,1,6,6,11,12
Lukaku*,Napoli,A,0,0,0,11,0
Konè M.,Roma,C,1,6,5.5,11,10
N'Dicka,Roma,D,1,6,6,11,13
Bastoni,Inter,D,1,6,6,11,14
Esposito Se.,Cagliari,A,0,0,0,10,13
Thorstvedt,Sassuolo,C,1,6,6,10,10
De Gea,Fiorentina,P,1,5.5,1.5,10,13
Kevin Carlos,Cagliari,A,0,0,0,9,13
David,Juventus,A,0,0,0,9,9
Bernabè,Parma,C,1,6,6,9,7
Perrone,Como,C,1,6,6,9,10
Thuram K.,Juventus,C,0,0,0,9,10
Saelemaekers,Milan,C,1,6,6,9,10
Bisseck,Inter,D,1,7,10,9,11
Skorupski,Bologna,P,1,6,5,9,10
Osmajic,Genoa,A,0,0,0,8,8
Adams C.,Torino,A,1,7,10,8,9
Rodriguez Je.,Como,C,1,5.5,5.5,8,12
Casadei,Torino,C,1,5,5,8,10
Baldanzi,Genoa,C,1,6,6,8,11
Locatelli,Juventus,C,1,6,6,8,8
Ramon,Como,D,1,6,6,8,10
Mandas,Lazio,P,1,6.5,6.5,8,9
Falcone,Lecce,P,1,7,7,8,8
Ratkov,Lazio,A,0,0,0,7,10
Yeboah J.,Venezia,A,1,6,6,7,8
Ghedjemis,Frosinone,A,0,0,0,7,9
Boga,Juventus,A,1,6,6,7,6
Schmid,Frosinone,C,1,5,4.5,7,8
Cancellieri,Lazio,C,1,5.5,5,7,9
Elmas,Atalanta,C,0,0,0,7,7
Cristante,Roma,C,1,6.5,6.5,7,8
Scalvini,Atalanta,D,1,6,6,7,10
Gutierrez*,Napoli,D,0,0,0,7,0
Okoye,Udinese,P,1,6.5,5.5,7,9
