Fantasquadra,Ruolo,Calciatore,Costo
Tanagro,C,Ekkelenkamp,10
Cuba Libre,C,Lobotka,7
Juventus Tarantina,C,Rowe,11
Forzamessina,C,Frattesi,7
Aquilerosanero,C,Calò,7
Athletic Sparta,C,Fofana Sa.,1
Manduria nerazzurra,C,Fazzini,7
Real Torretta,C,Adzic,5
Atletico birra raffo,C,Diouf,8
Friariello,C,Vergara,8
InfameDiPalla,C,Alajbegovic,12
Camerlonasoccer Team,C,Frattesi,7
Tanagro,C,Adzic,5
Cuba Libre,C,Amondarain,5
Juventus Tarantina,C,Forson O.,1
Forzamessina,C,Adzic,5
Aquilerosanero,C,Masini,2
Athletic Sparta,C,Gorter,1
Manduria nerazzurra,C,Frattesi,7
Real Torretta,C,Deiola,3
Atletico birra raffo,C,Adzic,5
Friariello,C,Frattesi,7
InfameDiPalla,C,Gaetano,7
Camerlonasoccer Team,C,Sorensen O.,3
Tanagro,C,Cissè A.,3
Cuba Libre,C,Matic,5
Juventus Tarantina,C,Zarraga,1
Forzamessina,C,Douglas Luiz,4
Aquilerosanero,C,Maleh,2
Athletic Sparta,C,Forson O.,1
Manduria nerazzurra,C,Adzic,5
Real Torretta,C,Fadera,2
Atletico birra raffo,C,Busio,5
Friariello,C,Chukwueze,6
InfameDiPalla,C,Maleh,2
Camerlonasoccer Team,C,Brescianini,3
Tanagro,C,Forson O.,1
Cuba Libre,C,Kone B.,1
Juventus Tarantina,C,Belahyane,1
Forzamessina,C,Ordonez C.,2
Aquilerosanero,C,Kaba,1
Athletic Sparta,C,Zarraga,1
Manduria nerazzurra,C,Stankovic A.,3
Real Torretta,C,Forson O.,1
Atletico birra raffo,C,Comotto,1
Friariello,C,Traorè Hj.,5
InfameDiPalla,C,Belahyane,1
Camerlonasoccer Team,C,Ilic,1
Tanagro,A,Hojlund,28
Cuba Libre,A,Martinez L.,35
Juventus Tarantina,A,Martinez L.,35
Forzamessina,A,Martinez L.,35
Aquilerosanero,A,Martinez L.,35
Athletic Sparta,A,Malen,34
Manduria nerazzurra,A,Martinez L.,35
Real Torretta,A,Martinez L.,35
Atletico birra raffo,A,Martinez L.,35
Friariello,A,Hojlund,28
InfameDiPalla,A,Malen,34
Camerlonasoccer Team,A,Hojlund,28
Tanagro,A,Ramos G.,27
Cuba Libre,A,Yildiz,23
Juventus Tarantina,A,Malen,34
Forzamessina,A,Hojlund,28
Aquilerosanero,A,Malen,34
Athletic Sparta,A,Ramos G.,27
Manduria nerazzurra,A,Malen,34
Real Torretta,A,Malen,34
Atletico birra raffo,A,Ramos G.,27
Friariello,A,Ramos G.,27
InfameDiPalla,A,Kean,25
Camerlonasoccer Team,A,Kean,25
Tanagro,A,Kolo Muani,26
Cuba Libre,A,Douvikas,20
Juventus Tarantina,A,Kolo Muani,26
Forzamessina,A,Dia,10
Aquilerosanero,A,Adams A.,12
Athletic Sparta,A,Kolo Muani,26
Manduria nerazzurra,A,Esposito F.P.,16
Real Torretta,A,Romero D.,10
Atletico birra raffo,A,Kolo Muani,26
Friariello,A,Kean,25
InfameDiPalla,A,Scamacca,19
Camerlonasoccer Team,A,De Ketelaere,17
Tanagro,A,Raimondo,7
Cuba Libre,A,Raspadori,13
Juventus Tarantina,A,Lauberbach,1
Forzamessina,A,Maldini,5
Aquilerosanero,A,Buksa *,2
Athletic Sparta,A,Lontani,1
Manduria nerazzurra,A,Santos A.,14
Real Torretta,A,Piccoli,8
Atletico birra raffo,A,Pellegrino M.,15
Friariello,A,Piccoli,8
InfameDiPalla,A,Varela G.,3
Camerlonasoccer Team,A,Adams A.,12
Tanagro,A,Lontani,1
Cuba Libre,A,Vaz,1
Juventus Tarantina,A,Bayo V.,1
Forzamessina,A,Lucca,3
Aquilerosanero,A,Vaz,1
Athletic Sparta,A,Bayo V.,1
Manduria nerazzurra,A,N'Dri,3
Real Torretta,A,Lontani,1
Atletico birra raffo,A,Lontani,1
Friariello,A,Ekhator,3
InfameDiPalla,A,Buksa *,2
Camerlonasoccer Team,A,Lucca,3
Gallipoli 2023,P,Butez,16
Squirting Lisbona,P,Butez,16
E-Team,P,Carnesecchi,16
Paris Saint Gennaro,P,Meret,11
Atletico Mandrillo,P,Butez,16
Castellaneta Marina,P,Svilar,18
Gallipoli 2023,P,Provedel,2
Squirting Lisbona,P,Tornqvist,1
E-Team,P,Vismara,1
Paris Saint Gennaro,P,Milinkovic-Savic V.,5
Atletico Mandrillo,P,Tornqvist,1
Castellaneta Marina,P,Provedel,2
Gallipoli 2023,P,Tornqvist,1
Squirting Lisbona,P,Vigorito,1
E-Team,P,Sportiello,1
Paris Saint Gennaro,P,Paleari,1
Atletico Mandrillo,P,Vigorito,1
Castellaneta Marina,P,Gollini,1
Gallipoli 2023,D,Spence,12
Squirting Lisbona,D,Dimarco,32
E-Team,D,Wesley,17
Paris Saint Gennaro,D,Wesley,17
Atletico Mandrillo,D,Couto,8
Castellaneta Marina,D,Bremer,15
Gallipoli 2023,D,Di Lorenzo,12
Squirting Lisbona,D,Molina N.,18
E-Team,D,Gila,12
Paris Saint Gennaro,D,Di Lorenzo,12
Atletico Mandrillo,D,Viery,6
Castellaneta Marina,D,Mancini,15
Gallipoli 2023,D,Vasquez,9
Squirting Lisbona,D,Wesley,17
E-Team,D,Cambiaso,9
Paris Saint Gennaro,D,Lucumì,8
Atletico Mandrillo,D,Valdepenas,6
Castellaneta Marina,D,Vojvoda,8
Gallipoli 2023,D,Valdepenas,6
Squirting Lisbona,D,Couto,8
E-Team,D,Kristensen T.,7
Paris Saint Gennaro,D,Vojvoda,8
Atletico Mandrillo,D,Bernasconi,6
Castellaneta Marina,D,Kristensen T.,7
Gallipoli 2023,D,De Winter,3
Squirting Lisbona,D,Valdepenas,6
E-Team,D,Valdepenas,6
Paris Saint Gennaro,D,Doekhi,7
Atletico Mandrillo,D,Birindelli,4
Castellaneta Marina,D,Birindelli,4
Gallipoli 2023,D,Ndiaye,1
Squirting Lisbona,D,Valenti,4
E-Team,D,Bakoune,1
