Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Woltemade,Juventus,A,0,0,0,40,23
Rabiot,Milan,C,2,6.75,8.75,36,23
Berardi,Sassuolo,A,1,7,10,27,19
Laurientè,Sassuolo,A,2,6.25,6,21,15
Simeone,Torino,A,2,5.5,5.5,20,14
Zaniolo,Udinese,C,1,6.5,6.5,20,18
Barella,Inter,C,2,6.5,7,20,18
Leao*,Milan,A,0,0,0,19,0
Diao,Como,A,2,6.25,6.75,13,12
Dovbyk,Bologna,A,2,5.25,5.25,13,15
Beto,Fiorentina,A,0,0,0,13,14
Colombo,Genoa,A,2,5.75,5.75,13,11
Goncalves P.,Fiorentina,C,0,0,0,13,12
Taylor K.,Lazio,C,2,6,6,13,13
Soulè,Roma,A,2,6.5,8,12,13
Ederson D.S.,Atalanta,C,2,5.75,5.75,12,12
Kessiè,Atalanta,C,0,0,0,12,12
Kalulu,Juventus,D,2,6.5,6.5,12,14
Lukaku*,Napoli,A,0,0,0,11,0
Konè M.,Roma,C,2,6.5,6.25,11,10
Gonzalez N.,Juventus,C,1,7.5,10.5,11,12
Esposito Se.,Sassuolo,A,0,0,0,10,12
Thorstvedt,Sassuolo,C,2,6,6,10,10
Zambo Anguissa,Napoli,C,2,5.25,5.25,10,10
Kevin Carlos,Cagliari,A,1,5.5,5,9,12
Adams A.,Venezia,A,2,5.5,5.5,9,11
Bernabè,Parma,C,2,5.75,5.75,9,7
Perrone,Como,C,2,6,6,9,10
Bisseck,Inter,D,2,6.75,8.25,9,12
Mandas,Lazio,P,2,6.25,6.25,9,10
Bobcek,Frosinone,A,0,0,0,8,9
Adams C.,Torino,A,2,6.5,8,8,10
Milla,Como,C,2,6.75,6.75,8,6
Rodriguez Je.,Como,C,1,5.5,5.5,8,11
Locatelli,Juventus,C,2,6.5,6.75,8,9
Ramon,Como,D,2,6,6,8,10
De Gea,Fiorentina,P,2,5.25,1.75,8,11
Skorupski,Bologna,P,2,5.5,4.5,8,10
Osmajic,Genoa,A,1,5.5,5.5,7,8
Yeboah J.,Venezia,A,2,6.25,6.25,7,9
Mbangula,Bologna,C,0,0,0,7,8
Njie,Fiorentina,C,1,6.5,6.5,7,4
Casadei,Torino,C,1,5,5,7,9
