Nome,Squadra,Ruolo,QtA,QtI,Diff
Svilar,Roma,P,19,18,1
Carnesecchi,Atalanta,P,17,16,1
Martinez Jo.,Inter,P,17,17,0
Vicario,Juventus,P,17,16,1
Butez,Como,P,15,16,-1
Maignan,Milan,P,15,15,0
De Gea,Fiorentina,P,11,13,-2
Meret,Napoli,P,11,11,0
Skorupski,Bologna,P,10,10,0
Caprile,Cagliari,P,10,9,1
Mandas,Lazio,P,10,9,1
Okoye,Udinese,P,9,9,0
Perri,Torino,P,9,9,0
Bijlow,Genoa,P,8,8,0
Falcone,Lecce,P,8,8,0
Sanchez Ro.,Como,P,8,8,0
Muric,Sassuolo,P,7,7,0
Daffara,Parma,P,6,7,-1
Stankovic F.,Venezia,P,6,6,0
Palmisani,Frosinone,P,5,4,1
Milinkovic-Savic V.,Napoli,P,5,5,0
Thiam,Monza,P,4,5,-1
Desplanches,Frosinone,P,2,2,0
Provedel,Inter,P,2,2,0
Corvi,Parma,P,2,1,1
Sportiello,Atalanta,P,1,1,0
Happonen,Bologna,P,1,1,0
Pessina Mas.,Bologna,P,1,1,0
Sherri,Cagliari,P,1,1,0
Tornqvist,Monza,P,1,1,0
Vigorito,Como,P,1,1,0
Christensen O.,Fiorentina,P,1,1,0
Lezzerini,Fiorentina,P,1,1,0
Lolic,Frosinone,P,1,1,0
Sommariva,Genoa,P,1,1,0
Stolz,Genoa,P,1,1,0
Di Gennaro,Inter,P,1,1,0
Pinsoglio,Juventus,P,1,1,0
Motta,Lazio,P,1,1,0
Renzetti,Lazio,P,1,1,0
Terracciano,Milan,P,1,1,0
Torriani,Milan,P,1,1,0
Strajnar,Monza,P,1,1,0
Contini,Napoli,P,1,1,0
De Marzi,Roma,P,1,1,0
Gollini,Roma,P,1,1,0
Russo A.,Sassuolo,P,1,1,0
Turati,Sassuolo,P,1,1,0
Mascardi,Torino,P,1,1,0
Paleari,Torino,P,1,1,0
Siviero,Torino,P,1,1,0
Padelli,Udinese,P,1,1,0
Piana,Udinese,P,1,1,0
Grandi,Venezia,P,1,1,0
Pozzi,Venezia,P,1,1,0
Satalino,Sassuolo,P,1,1,0
Penev,Lecce,P,1,1,0
Pisseri,Frosinone,P,1,1,0
Radunovic,Cagliari,P,1,1,0
Montipò,Venezia,P,1,1,0
Bleve,Lecce,P,1,1,0
Grabara,Juventus,P,1,1,0
Mrozek,Udinese,P,1,1,0
Ghidotti,Parma,P,1,1,0
Pompei,Atalanta,P,1,1,0
Dimarco,Inter,D,31,32,-1
Wesley,Roma,D,18,17,1
Molina N.,Roma,D,18,18,0
Bremer,Juventus,D,16,15,1
Mancini,Roma,D,16,15,1
Akanji,Inter,D,15,16,-1
Rrahmani,Napoli,D,15,14,1
Bastoni,Inter,D,14,14,0
Kalulu,Juventus,D,14,13,1
Pavlovic,Milan,D,14,14,0
Gila,Milan,D,13,12,1
N'Dicka,Roma,D,13,13,0
Solet,Udinese,D,13,13,0
Bisseck,Inter,D,12,11,1
Stones,Inter,D,12,12,0
Di Lorenzo,Napoli,D,12,12,0
Ostigard,Genoa,D,11,11,0
Hermoso,Roma,D,11,10,1
Spence,Inter,D,11,12,-1
Scalvini,Atalanta,D,10,10,0
Ramon,Como,D,10,10,0
Chalobah T.,Como,D,10,9,1
Dodò,Fiorentina,D,9,10,-1
Vasquez,Genoa,D,9,9,0
Vojvoda,Udinese,D,9,8,1
Kamara H.,Udinese,D,9,6,3
Zappacosta,Atalanta,D,8,8,0
Miranda J.,Bologna,D,8,8,0
Celik,Juventus,D,8,8,0
Cambiaso,Juventus,D,8,9,-1
Doekhi,Lazio,D,8,7,1
Tiago Gabriel,Lecce,D,8,7,1
Bartesaghi,Milan,D,8,8,0
Spinazzola,Napoli,D,8,8,0
Delprato,Parma,D,8,8,0
Valeri,Parma,D,8,8,0
Koulierakis,Roma,D,8,8,0
Comuzzo,Torino,D,8,6,2
Couto,Como,D,8,8,0
Theate,Bologna,D,8,8,0
Diego Carlos,Parma,D,8,8,0
Hien,Atalanta,D,7,8,-1
Lucumì,Juventus,D,7,8,-1
Zortea,Bologna,D,7,6,1
Mina,Cagliari,D,7,8,-1
Obert,Cagliari,D,7,7,0
Dragusin,Fiorentina,D,7,8,-1
Jimenez A.,Fiorentina,D,7,8,-1
Bracaglia,Frosinone,D,7,5,2
Tavares N.,Lazio,D,7,6,1
Gabbia,Milan,D,7,7,0
Mangas,Monza,D,7,6,1
Idzes,Sassuolo,D,7,7,0
Coco,Torino,D,7,7,0
Ismajli,Torino,D,7,7,0
Badiashile,Napoli,D,7,7,0
Sutalo J.,Lazio,D,7,7,0
Belghali,Torino,D,7,7,0
Kolasinac,Atalanta,D,6,5,1
Bellanova,Atalanta,D,6,6,0
Bernasconi,Atalanta,D,6,6,0
Heggem,Bologna,D,6,6,0
Holm,Bologna,D,6,5,1
Kaiki,Como,D,6,7,-1
Valle,Como,D,6,6,0
Viery,Fiorentina,D,6,6,0
Monterisi,Frosinone,D,6,6,0
Oyono A.,Frosinone,D,6,5,1
Marcandalli,Genoa,D,6,6,0
Pavard,Inter,D,6,6,0
Carlos Augusto,Inter,D,6,7,-1
Romagnoli,Lazio,D,6,7,-1
Pedraza,Lazio,D,6,5,1
Marusic,Lazio,D,6,6,0
Veiga D.,Lecce,D,6,5,1
Gallo,Lecce,D,6,6,0
Tomori,Milan,D,6,7,-1
Beukema,Napoli,D,6,6,0
Buongiorno,Napoli,D,6,7,-1
Kristensen T.,Atalanta,D,6,7,-1
Obrador,Sassuolo,D,6,6,0
Fortini,Torino,D,6,5,1
Leysen F.,Sassuolo,D,6,5,1
Balerdi,Roma,D,6,6,0
Caleta-Car,Sassuolo,D,6,6,0
Sugawara,Cagliari,D,6,6,0
Kofler,Cagliari,D,5,5,0
Zè Pedro,Cagliari,D,5,5,0
Kempf,Como,D,5,5,0
Valdepenas,Fiorentina,D,5,6,-1
Calvani,Frosinone,D,5,4,1
Kelly L.,Juventus,D,5,5,0
Gaspar K.,Lecce,D,5,5,0
De Winter,Milan,D,5,3,2
Olivera,Napoli,D,5,5,0
Ghilardi,Roma,D,5,4,1
Doig,Sassuolo,D,5,4,1
Bella-Kotchap,Venezia,D,5,6,-1
Correia T.,Venezia,D,5,4,1
Haps,Venezia,D,5,5,0
Patterson,Torino,D,5,5,0
Kossounou,Atalanta,D,4,3,1
Vitik,Bologna,D,4,5,-1
Rodriguez Ju.,Cagliari,D,4,3,1
Smolcic I.,Como,D,4,4,0
Pongracic,Fiorentina,D,4,4,0
Parisi,Fiorentina,D,4,5,-1
Cittadini,Frosinone,D,4,3,1
Mitaj,Genoa,D,4,4,0
Gatti,Juventus,D,4,4,0
Provstgaard,Lazio,D,4,3,1
Floriani Mussolini,Lazio,D,4,3,1
Siebert,Lecce,D,4,4,0
Birindelli,Monza,D,4,4,0
Valenti,Parma,D,4,4,0
Rensch,Roma,D,4,5,-1
Walukiewicz,Sassuolo,D,4,4,0
Comert,Torino,D,4,4,0
Kabasele,Udinese,D,4,4,0
Bertola,Udinese,D,4,4,0
Zanoli,Udinese,D,4,4,0
Arizala,Udinese,D,4,4,0
Moreno M.,Venezia,D,4,5,-1
Hainaut,Venezia,D,4,3,1
Terzic,Frosinone,D,4,4,0
Favasuli,Napoli,D,4,4,0
Juan Jesus,Venezia,D,4,4,0
Casale,Bologna,D,3,3,0
Helland,Bologna,D,3,2,1
Idrissi R.,Cagliari,D,3,3,0
Ranieri L.,Fiorentina,D,3,3,0
Joao Mario,Fiorentina,D,3,3,0
Akpoguma,Frosinone,D,3,3,0
Estupinan,Milan,D,3,3,0
Lucchesi,Monza,D,3,4,-1
Kouadio,Monza,D,3,3,0
Carboni A.,Monza,D,3,3,0
Troilo,Parma,D,3,3,0
Britschgi,Parma,D,3,3,0
Candè,Sassuolo,D,3,3,0
Palma,Udinese,D,3,2,1
Ebosse,Udinese,D,3,2,1
Halhal,Venezia,D,3,4,-1
Schingtienne,Venezia,D,3,3,0
Sverko,Venezia,D,3,3,0
Franjic,Venezia,D,3,2,1
Odenthal,Sassuolo,D,3,1,2
Tchato,Frosinone,D,3,3,0
Kambwala,Como,D,3,3,0
Drameh,Genoa,D,3,3,0
Alhassane,Bologna,D,2,2,0
Van Der Brempt,Sassuolo,D,2,2,0
Otoa,Genoa,D,2,2,0
Puczka,Genoa,D,2,2,0
Sabelli,Genoa,D,2,2,0
Lazzari,Lazio,D,2,2,0
Pellegrini Lu.,Lazio,D,2,2,0
Jean,Lecce,D,2,2,0
Ndaba,Lecce,D,2,1,1
Diawara S.,Milan,D,2,2,0
Bakoune,Monza,D,2,1,1
Marin R.,Napoli,D,2,2,0
Ndiaye,Parma,D,2,1,1
Biraghi,Torino,D,2,2,0
Abankwah,Udinese,D,2,1,1
Sagrado,Venezia,D,2,2,0
Aurelio,Cagliari,D,2,2,0
Goglichidze,Monza,D,2,2,0
Cinquegrano,Sassuolo,D,2,1,1
Terracciano F.,Milan,D,2,2,0
Lulli,Roma,D,2,1,1
Drobnic,Parma,D,2,1,1
De Silvestri,Bologna,D,1,1,0
Goldaniga,Como,D,1,1,0
