Tipo,Posizione,Fantasquadra,Punti
Generale,1,Manduria nerazzurra,173.5
Generale,2,Castellaneta Marina,173.0
Generale,3,Squirting Lisbona,170.5
Generale,4,Paris Saint Gennaro,166.0
Generale,5,Juventus Tarantina,164.5
Generale,6,Atletico Mandrillo,164.0
Generale,7,InfameDiPalla,164.0
Generale,8,Athletic Sparta,163.0
Generale,9,E-Team,159.0
Generale,10,Real Torretta,156.5
Generale,11,Aquilerosanero,153.0
Generale,12,Gallipoli 2023,148.0
Generale,13,Cuba Libre,147.0
Generale,14,Camerlonasoccer Team,145.5
Generale,15,Forzamessina,140.5
Generale,16,Friariello,139.0
Generale,17,Atletico birra raffo,137.0
Generale,18,Tanagro,136.0
