Tipo,Posizione,Fantasquadra,Punti
Generale,1,Castellaneta Marina,414.5
Generale,2,Forzamessina,406.0
Generale,3,Manduria nerazzurra,401.5
Generale,4,Atletico Mandrillo,400.0
Generale,5,Aquilerosanero,397.5
Generale,6,E-Team,396.5
Generale,7,Squirting Lisbona,389.0
Generale,8,InfameDiPalla,388.5
Generale,9,Athletic Sparta,388.0
Generale,10,Juventus Tarantina,382.0
Generale,11,Paris Saint Gennaro,380.5
Generale,12,Gallipoli 2023,377.0
Generale,13,Real Torretta,374.5
Generale,14,Atletico birra raffo,374.5
Generale,15,Cuba Libre,366.5
Generale,16,Camerlonasoccer Team,364.5
Generale,17,Tanagro,360.0
Generale,18,Friariello,348.0
