Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Scamacca,Atalanta,A,5,6,6.6,25,19
Barella,Inter,C,5,6.3,7,21,18
Krstovic,Atalanta,A,5,5.6,6.1,20,16
Laurientè,Sassuolo,A,5,6.3,6.4,19,16
Leao*,Milan,A,0,0,0,19,0
Colombo,Genoa,A,5,5.9,5.7,13,10
Beto,Fiorentina,A,3,5.67,5.67,12,13
Romero D.,Parma,A,4,6.5,8,11,13
Lukaku*,Napoli,A,0,0,0,11,0
Taylor K.,Lazio,C,5,6.1,6.1,11,13
Castro S.,Roma,A,4,6,6,10,13
Schmid,Frosinone,C,5,6.3,6.7,10,11
Bastoni,Inter,D,5,6,5.9,10,13
Santos A.,Napoli,A,3,6,6,9,13
Noslin,Lazio,A,3,6.67,8.67,9,10
Calò,Frosinone,C,5,6.5,7.3,9,11
Adams A.,Venezia,A,5,5.6,6.2,8,12
Dovbyk,Bologna,A,3,5.83,6.67,8,15
Ghedjemis,Frosinone,A,3,6.5,6.5,8,11
Pisilli,Roma,C,4,6.25,7.62,8,9
Perrone,Como,C,5,6.2,6.2,8,11
Thorstvedt,Sassuolo,C,5,5.8,5.8,8,9
Saelemaekers,Milan,C,4,6.25,6.5,8,11
Cristante,Roma,C,5,6.3,6.3,8,11
Jimenez A.,Fiorentina,D,4,5.88,6.75,8,10
Caprile,Cagliari,P,5,6.5,6.1,8,13
Yeboah J.,Venezia,A,5,5.9,5.9,7,8
Bernabè,Parma,C,3,5.83,5.83,7,6
Zambo Anguissa,Napoli,C,3,5.33,5.33,7,9
Gutierrez*,Napoli,D,0,0,0,7,0
Ratkov*,Lazio,A,0,0,0,6,0
David*,Juventus,A,1,5,5,6,0
Rodriguez Je.,Como,C,3,5.83,5.83,6,11
Cacciamani,Torino,C,5,6.1,6.3,6,8
Ferguson,Bologna,C,5,6.1,6.1,6,8
Zhegrova,Juventus,C,3,6.67,9,6,10
Cancellieri,Lazio,C,5,6.2,6.7,6,11
Fagioli,Fiorentina,C,5,5.9,6,6,8
Cambiaghi,Bologna,C,5,5.9,5.8,6,8
Valeri,Parma,D,5,6.2,6.2,6,9
Okoye,Udinese,P,5,6.3,4.1,6,8
Falcone,Lecce,P,5,6.1,4,6,7
Skorupski,Bologna,P,4,5.62,4.38,6,9
Zeballos,Monza,A,1,6.5,9.5,5,7
Kevin Carlos,Cagliari,A,2,5.5,5.25,5,10
